Timestamp,Direction,Vehicle_Type,Vehicle_ID,Total_IN,Total_OUT
2026-07-30 08:15:49,OUT,Car,3,0,1
2026-07-30 08:15:50,IN,Car,4,1,1
2026-07-30 08:16:01,OUT,Car,1,1,2
2026-07-30 08:16:15,OUT,Car,171,1,3
2026-07-30 08:16:15,IN,Car,172,2,3
2026-07-30 08:16:17,IN,Car,6,3,3
2026-07-30 08:16:20,OUT,Car,5,3,4
2026-07-30 08:16:33,OUT,Car,169,3,5
2026-07-30 08:16:33,OUT,Car,179,3,6
2026-07-30 10:52:22,OUT,Car,3,0,1
2026-07-30 10:52:22,IN,Car,4,1,1
2026-07-30 10:52:31,OUT,Car,1,1,2
2026-07-30 11:03:26,OUT,Car,4,0,1
2026-07-30 11:03:27,IN,Car,5,1,1
2026-07-30 11:03:40,OUT,Car,2,1,2
2026-07-30 11:03:51,OUT,Car,172,1,3
2026-07-30 11:03:52,IN,Car,173,2,3
2026-07-30 11:03:55,IN,Car,3,3,3
2026-07-30 11:04:08,OUT,Car,170,3,4
2026-07-30 11:11:07,OUT,Car,4,0,1
2026-07-30 11:11:07,IN,Car,5,1,1
2026-07-30 11:11:20,OUT,Car,2,1,2
2026-07-30 11:11:27,IN,Car,3,2,2
2026-07-30 11:11:30,OUT,Car,6,2,3
2026-07-30 11:11:37,IN,Car,12,3,3
2026-07-30 11:11:40,OUT,Car,10,3,4
2026-07-30 11:11:50,IN,Car,738,4,4
2026-07-30 11:11:51,OUT,Car,5,4,5
2026-07-30 11:11:53,IN,Car,10,5,5
2026-07-30 11:18:28,OUT,Car,4,0,1
2026-07-30 11:18:29,IN,Car,5,1,1
2026-07-30 11:18:53,OUT,Car,2,1,2
2026-07-30 11:26:51,OUT,Car,3,0,1
2026-07-30 11:26:52,IN,Car,4,1,1
2026-07-30 11:27:02,OUT,Car,1,1,2
2026-07-30 11:27:19,IN,Car,6,2,2
2026-07-30 11:27:51,OUT,Car,4,2,3
2026-07-30 11:27:52,OUT,Car,6,2,4
